Row Labels;Count of UserID;;;;
Supersport Live Events;1662;;;;
ICC Cricket World Cup 2011;1465;;;;
Channel O;1050;;;;
Not Applicable;989;;;;
Trace TV;952;;;;
SuperSport Blitz;896;;;;
Africa Magic;859;;;;
Cartoon Network;793;;;;
Boomerang;714;;;;
CNN;505;;;;
E! Entertainment;367;;;;
SawSee;255;;;;
M-Net;116;;;;
Vuzu;111;;;;
DStv Events 1;107;;;;
Break in transmission;66;;;;
kykNET;45;;;;
MK;32;;;;
Wimbledon;3;;;;
Live on SuperSport;2;;;;
Grand Total;10989;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Count of UserID;Column Labels;;;;
Row Labels;Afternoon;Early Morning;Evening;Morning;Grand Total
Sun;544;82;477;316;1419
Mon;311;65;369;212;957
Tue;450;83;492;297;1322
Wed;655;78;425;395;1553
Thu;537;77;466;361;1441
Fri;615;105;565;390;1675
Sat;622;71;550;390;1633
null;;;989;;989
Grand Total;3734;561;4333;2361;10989
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Count of UserID;Column Labels;;;;
Row Labels; ;female;male;Prefer_not_to_say;Grand Total
adults;;471;3750;;4221
Age_unknown;218;;2;785;1005
mature_adults;;287;2725;3;3015
seniors;;38;468;;506
under_age;;72;225;1;298
young_adults;;158;1786;;1944
Grand Total;218;1026;8956;789;10989
